iptables-module-xt-nfacct aarch64 1.8.4
iptables-module-xt-nflog aarch64 1.8.4
iptables-module-xt-nfqueue aarch64 1.8.4
iptables-module-xt-osf aarch64 1.8.4
iptables-module-xt-owner aarch64 1.8.4
iptables-module-xt-physdev aarch64 1.8.4
iptables-module-xt-pkttype aarch64 1.8.4
iptables-module-xt-policy aarch64 1.8.4
iptables-module-xt-quota aarch64 1.8.4
iptables-module-xt-rateest aarch64 1.8.4
iptables-module-xt-recent aarch64 1.8.4
iptables-module-xt-rpfilter aarch64 1.8.4
iptables-module-xt-sctp aarch64 1.8.4
iptables-module-xt-secmark aarch64 1.8.4
iptables-module-xt-set aarch64 1.8.4
iptables-module-xt-socket aarch64 1.8.4
iptables-module-xt-standard aarch64 1.8.4
iptables-module-xt-statistic aarch64 1.8.4
iptables-module-xt-string aarch64 1.8.4
iptables-module-xt-synproxy aarch64 1.8.4
iptables-module-xt-tcp aarch64 1.8.4
iptables-module-xt-tcpmss aarch64 1.8.4
iptables-module-xt-tcpoptstrip aarch64 1.8.4
iptables-module-xt-tee aarch64 1.8.4
iptables-module-xt-time aarch64 1.8.4
iptables-module-xt-tos aarch64 1.8.4
iptables-module-xt-tproxy aarch64 1.8.4
iptables-module-xt-trace aarch64 1.8.4
iptables-module-xt-u32 aarch64 1.8.4
iptables-module-xt-udp aarch64 1.8.4
iptables-modules aarch64 1.8.4
iw aarch64 5.4
kbd aarch64 2.2.0
kbd-consolefonts aarch64 2.2.0
kbd-keymaps aarch64 2.2.0
kernel euto_v9_sadk 5.15.74
kernel-module-auth-rpcgss-4.14.300 euto_v9_sadk 4.14.300
kernel-module-blocklayoutdriver-4.14.300 euto_v9_sadk 4.14.300
kernel-module-bluetooth-4.14.300 euto_v9_sadk 4.14.300
kernel-module-bnep-4.14.300 euto_v9_sadk 4.14.300
kernel-module-btbcm-4.14.300 euto_v9_sadk 4.14.300
kernel-module-btintel-4.14.300 euto_v9_sadk 4.14.300
kernel-module-btrtl-4.14.300 euto_v9_sadk 4.14.300
kernel-module-btusb-4.14.300 euto_v9_sadk 4.14.300
kernel-module-can-4.14.300 euto_v9_sadk 4.14.300
kernel-module-can-bcm-4.14.300 euto_v9_sadk 4.14.300
kernel-module-can-dev-4.14.300 euto_v9_sadk 4.14.300
kernel-module-can-gw-4.14.300 euto_v9_sadk 4.14.300
kernel-module-can-raw-4.14.300 euto_v9_sadk 4.14.300
kernel-module-ccm-4.14.300 euto_v9_sadk 4.14.300
kernel-module-cfg80211-4.14.300 euto_v9_sadk 4.14.300
kernel-module-chacha-generic-4.14.300 euto_v9_sadk 4.14.300
kernel-module-dwc3-4.14.300 euto_v9_sadk 4.14.300
kernel-module-dwc3-exynosauto-usb-4.14.300 euto_v9_sadk 4.14.300
kernel-module-dwc3-haps-4.14.300 euto_v9_sadk 4.14.300
kernel-module-dwc3-of-simple-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exfat-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exynosauto9-discovery-tas6424-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exynosauto9-sadk-dummy-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exynosauto9-sadk-tas6424-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exynosautov920-dummy-machine-4.14.300 euto_v9_sadk 4.14.300
kernel-module-exynosautov920-sadk-machine-4.14.300 euto_v9_sadk 4.14.300
kernel-module-grace-4.14.300 euto_v9_sadk 4.14.300
kernel-module-hci-uart-4.14.300 euto_v9_sadk 4.14.300
kernel-module-hci-vhci-4.14.300 euto_v9_sadk 4.14.300
kernel-module-hidp-4.14.300 euto_v9_sadk 4.14.300
kernel-module-libarc4-4.14.300 euto_v9_sadk 4.14.300
kernel-module-libata-4.14.300 euto_v9_sadk 4.14.300
kernel-module-lockd-4.14.300 euto_v9_sadk 4.14.300
kernel-module-mac80211-4.14.300 euto_v9_sadk 4.14.300
kernel-module-mcdrvmodule-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfs-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfs-layout-flexfiles-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfs-layout-nfsv41-files-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfsv2-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfsv3-4.14.300 euto_v9_sadk 4.14.300
kernel-module-nfsv4-4.14.300 euto_v9_sadk 4.14.300
kernel-module-npu-4.14.300 euto_v9_sadk 4.14.300
kernel-module-npu-v910-4.14.300 euto_v9_sadk 4.14.300
kernel-module-optee-4.14.300 euto_v9_sadk 4.14.300
kernel-module-optee-rng-4.14.300 euto_v9_sadk 4.14.300
kernel-module-pcie-exynos-dw-ep-4.14.300 euto_v9_sadk 4.14.300
kernel-module-pcie-exynos-dw-rc-4.14.300 euto_v9_sadk 4.14.300
kernel-module-pcie-exynos-v920-dw-ep-4.14.300 euto_v9_sadk 4.14.300
kernel-module-pcie-exynos-v920-dw-rc-4.14.300 euto_v9_sadk 4.14.300
kernel-module-phy-exynos-mipi-camera-4.14.300 euto_v9_sadk 4.14.300
kernel-module-phy-exynosauto-usbdrd-super-4.14.300 euto_v9_sadk 4.14.300
kernel-module-pnc-ree-4.14.300 euto_v9_sadk 4.14.300
kernel-module-rfcomm-4.14.300 euto_v9_sadk 4.14.300
kernel-module-rfkill-4.14.300 euto_v9_sadk 4.14.300
kernel-module-rfkill-gpio-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-cis-2a1-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-cis-4ec-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-device-module-2a1-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-device-module-4ec-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-dhal-v1-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-dhal-v2-0-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-module-common-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-sensor-v1-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sam-is-sensor-v2-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sfi-cli-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sfi-dump-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sfi-ipc-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sfi-ipc-test-4.14.300 euto_v9_sadk 4.14.300
kernel-module-snd-soc-s3c-dma-4.14.300 euto_v9_sadk 4.14.300
kernel-module-snd-soc-samsung-abox-core-4.14.300 euto_v9_sadk 4.14.300
kernel-module-snd-soc-tas6424-4.14.300 euto_v9_sadk 4.14.300
kernel-module-snd-soc-tca6416a-tas6424-4.14.300 euto_v9_sadk 4.14.300
kernel-module-snd-soc-tlv320adcx140-4.14.300 euto_v9_sadk 4.14.300
kernel-module-sunrpc-4.14.300 euto_v9_sadk 4.14.300
kernel-module-tee-4.14.300 euto_v9_sadk 4.14.300
kernel-module-virtio-bt-4.14.300 euto_v9_sadk 4.14.300
kernel-modules euto_v9_sadk 4.14.300
kernel-selftest euto_v9_sadk 1.0
keymint aarch64 1.0
kinibi-preinstall euto_v9_sadk 1.0
kmod aarch64 26
kmod-dev aarch64 26
libacl1 aarch64 2.2.53
libaio1 aarch64 0.3.111
libasm1 aarch64 0.178
libasound-module-conf-pulse aarch64 1.2.1
libasound-module-ctl-arcam-av aarch64 1.2.1
libasound-module-ctl-oss aarch64 1.2.1
libasound-module-ctl-pulse aarch64 1.2.1
libasound-module-pcm-oss aarch64 1.2.1
libasound-module-pcm-pulse aarch64 1.2.1
libasound-module-pcm-speex aarch64 1.2.1
libasound-module-pcm-upmix aarch64 1.2.1
libasound-module-pcm-usb-stream aarch64 1.2.1
libasound-module-pcm-vdownmix aarch64 1.2.1
libasound-module-rate-samplerate aarch64 1.2.1
libasound-module-rate-speexrate aarch64 1.2.1
libasound2 aarch64 1.2.1.2
libassimp5 aarch64 5.0.1
libatopology2 aarch64 1.2.1.2
libattr1 aarch64 2.4.48
libavahi-common3 aarch64 0.7
libavahi-core7 aarch64 0.7
libavcodec58 aarch64 4.2.2
libavfilter7 aarch64 4.2.2
libavformat58 aarch64 4.2.2
libavresample4 aarch64 4.2.2
libavutil56 aarch64 4.2.2
libbfd aarch64 2.34
libblkid1 aarch64 2.35.1
libbz2-1 aarch64 1.0.8
libcairo-gobject2 aarch64 1.16.0
libcairo2 aarch64 1.16.0
libcam euto_v9_sadk 1.0
libcap-dev aarch64 2.32
libcap-ng-dev aarch64 0.7.10
libcap-ng0 aarch64 0.7.10
libcap2 aarch64 2.32
libcom-err2 aarch64 1.45.7
libcroco aarch64 0.6.13
libcrypto1.1 aarch64 1.1.1s
libcurl4 aarch64 7.69.1
libcxx aarch64 10.0.1
libcxx-dev aarch64 10.0.1
libdaemon0 aarch64 0.14
libdbus-1-3 aarch64 1.12.24
libdevmapper aarch64 2.03.06
libdrm-etnaviv1 aarch64 2.4.101
libdrm-exynos1 aarch64 2.4.101
libdrm-tests aarch64 2.4.101
libdrm2 aarch64 2.4.101
libdw1 aarch64 0.178
libe2p2 aarch64 1.45.7
libelf1 aarch64 0.178
libell0 aarch64 0.33
libenn euto_v9_sadk 1.0
liberation-fonts noarch 2.00.1
